epoch,loss,accuracy
265, 0.00221,28.381
266, 0.00221,28.242
267, 0.00221,28.173
268, 0.00221,28.265
269, 0.00220,27.874
270, 0.00220,28.334
271, 0.00220,28.381
272, 0.00220,28.104
273, 0.00220,28.680
274, 0.00219,29.486
275, 0.00220,28.358
276, 0.00220,29.003
277, 0.00219,27.897
278, 0.00219,28.104
279, 0.00221,29.049
280, 0.00220,28.519
281, 0.00221,28.381
282, 0.00219,28.427
283, 0.00220,28.956
284, 0.00220,28.427
285, 0.00219,28.450
286, 0.00219,29.049
287, 0.00220,28.588
288, 0.00220,28.311
289, 0.00219,28.427
290, 0.00220,28.657
291, 0.00219,29.394
292, 0.00221,28.680
293, 0.00219,28.473
294, 0.00219,28.910
295, 0.00219,28.173
296, 0.00219,28.496
297, 0.00219,28.427
298, 0.00218,29.141
299, 0.00219,28.150
300, 0.00219,27.689
301, 0.00220,28.058
302, 0.00219,29.118
303, 0.00219,28.680
304, 0.00219,28.288
305, 0.00220,28.841
306, 0.00218,29.486
307, 0.00219,28.795
308, 0.00218,28.703
309, 0.00219,29.003
310, 0.00218,29.532
311, 0.00218,27.828
312, 0.00219,28.772
313, 0.00219,28.588
314, 0.00219,28.381
315, 0.00220,28.565
316, 0.00220,28.496
317, 0.00218,29.348
318, 0.00219,28.450
319, 0.00217,28.818
320, 0.00219,29.003
321, 0.00219,28.219
322, 0.00219,28.473
323, 0.00218,29.164
324, 0.00220,28.979
325, 0.00218,29.003
326, 0.00219,29.141
327, 0.00220,28.381
328, 0.00219,28.334
329, 0.00218,29.141
330, 0.00218,29.072
331, 0.00218,27.920
332, 0.00218,28.726
333, 0.00216,28.450
334, 0.00218,29.279
335, 0.00217,28.404
336, 0.00217,29.348
337, 0.00218,29.141
338, 0.00218,29.440
339, 0.00218,29.578
340, 0.00217,29.026
341, 0.00218,28.910
342, 0.00219,28.611
343, 0.00218,29.003
344, 0.00218,28.565
345, 0.00218,29.141
346, 0.00217,28.772
347, 0.00219,28.772
348, 0.00218,28.979
349, 0.00217,29.532
350, 0.00218,29.003
351, 0.00216,29.164
352, 0.00218,29.671
353, 0.00217,29.947
354, 0.00218,28.910
355, 0.00219,29.233
356, 0.00217,28.887
357, 0.00217,28.265
358, 0.00218,29.072
359, 0.00218,29.187
360, 0.00218,28.450
361, 0.00218,29.532
362, 0.00217,29.855
363, 0.00218,28.887
364, 0.00219,28.519
365, 0.00217,29.486
366, 0.00217,29.786
367, 0.00217,28.542
368, 0.00217,29.394
369, 0.00217,29.786
370, 0.00217,29.671
371, 0.00216,29.786
372, 0.00219,29.003
373, 0.00217,29.256
374, 0.00218,29.095
375, 0.00217,29.394
376, 0.00217,28.634
377, 0.00217,29.049
378, 0.00217,29.095
379, 0.00218,28.749
380, 0.00217,28.772
381, 0.00218,29.509
382, 0.00218,28.864
383, 0.00220,28.933
384, 0.00218,29.601
385, 0.00216,29.348
386, 0.00218,28.703
387, 0.00217,29.348
388, 0.00217,29.279
389, 0.00218,29.440
